rating_id,ride_id,user_rating,driver_rating,feedback_text
RT_87,R_87,4.3,4.4,
RT_88,R_88,4.3,5.0,
RT_89,R_89,4.0,4.4,
RT_90,R_90,5.0,4.4,
RT_91,R_91,3.7,4.9,
RT_92,R_92,4.4,4.8,
RT_94,R_94,4.6,3.7,
RT_95,R_95,4.3,4.3,
RT_97,R_97,3.6,4.0,
RT_98,R_98,4.1,3.8,
RT_99,R_99,4.1,3.9,
RT_100,R_100,4.9,4.0,
RT_101,R_101,4.6,4.0,
RT_102,R_102,3.8,3.7,
RT_103,R_103,4.9,4.6,
RT_104,R_104,4.7,4.3,
RT_105,R_105,4.8,3.6,
RT_106,R_106,4.8,4.7,
RT_108,R_108,4.1,4.0,
RT_109,R_109,3.9,4.5,
RT_110,R_110,4.1,4.6,
RT_112,R_112,4.0,4.9,
RT_113,R_113,4.4,3.9,
RT_114,R_114,4.0,3.7,
RT_117,R_117,4.7,4.7,
RT_118,R_118,4.4,5.0,
RT_119,R_119,4.6,4.4,
RT_120,R_120,4.5,3.7,
RT_123,R_123,4.9,4.4,
RT_124,R_124,3.7,4.7,
RT_126,R_126,3.7,4.8,
RT_127,R_127,3.7,3.6,
RT_129,R_129,4.1,4.4,
RT_130,R_130,3.8,4.3,
RT_132,R_132,4.8,4.8,
RT_133,R_133,4.8,4.2,
RT_134,R_134,4.8,3.8,
RT_135,R_135,4.7,4.4,
RT_136,R_136,4.3,4.8,
RT_140,R_140,4.9,4.0,
RT_141,R_141,4.3,4.1,
RT_142,R_142,3.7,4.7,
RT_144,R_144,4.3,3.8,
RT_145,R_145,4.7,4.3,
RT_146,R_146,3.8,3.6,
RT_147,R_147,5.0,4.3,
RT_148,R_148,4.3,4.8,
RT_150,R_150,4.0,4.4,
RT_151,R_151,3.7,4.8,
RT_152,R_152,4.3,3.6,
RT_153,R_153,4.8,5.0,
RT_154,R_154,4.6,4.5,
RT_156,R_156,5.0,4.6,
RT_157,R_157,4.8,4.1,
RT_158,R_158,4.3,4.1,
RT_159,R_159,3.5,3.9,
RT_161,R_161,4.4,3.7,
RT_163,R_163,4.6,4.0,
RT_166,R_166,4.0,4.1,
RT_167,R_167,3.8,3.8,
RT_168,R_168,3.6,4.9,
RT_169,R_169,4.0,3.9,
RT_172,R_172,4.1,3.6,
RT_173,R_173,3.9,3.6,
RT_174,R_174,3.6,3.7,
RT_175,R_175,4.2,4.4,
RT_179,R_179,4.5,3.8,
RT_181,R_181,4.2,4.4,
RT_182,R_182,4.0,3.9,
RT_186,R_186,4.3,4.1,
RT_187,R_187,4.1,3.8,
RT_188,R_188,3.7,4.9,
RT_189,R_189,4.9,3.7,
RT_191,R_191,3.9,3.5,
RT_192,R_192,4.4,4.5,
RT_193,R_193,4.6,4.0,
RT_194,R_194,4.1,3.5,
RT_196,R_196,4.6,3.9,
RT_197,R_197,3.6,4.4,
RT_200,R_200,4.6,4.7,
RT_201,R_201,4.8,4.8,
RT_203,R_203,4.1,4.4,
RT_205,R_205,4.7,3.6,
RT_207,R_207,4.2,4.0,
RT_208,R_208,4.7,4.0,
RT_210,R_210,4.7,4.1,
RT_211,R_211,5.0,4.0,
RT_212,R_212,4.3,4.3,
RT_213,R_213,4.1,3.6,
RT_214,R_214,4.7,4.9,
RT_215,R_215,4.1,4.8,
RT_217,R_217,4.8,3.7,
RT_218,R_218,4.3,3.8,
RT_219,R_219,3.5,4.2,
RT_220,R_220,4.5,4.2,
RT_221,R_221,4.3,5.0,
RT_222,R_222,4.8,3.5,
RT_223,R_223,3.7,4.5,
RT_224,R_224,4.4,4.1,
RT_225,R_225,3.7,4.4,
RT_226,R_226,4.9,4.3,
RT_227,R_227,3.7,4.6,
RT_229,R_229,4.0,4.7,
RT_230,R_230,4.9,4.2,
RT_231,R_231,4.6,4.1,
RT_232,R_232,4.1,4.9,
RT_233,R_233,4.1,4.2,
RT_234,R_234,4.2,4.9,
RT_235,R_235,3.8,3.7,
RT_237,R_237,4.5,4.4,
RT_238,R_238,4.1,4.4,
RT_239,R_239,4.3,4.0,
RT_240,R_240,4.6,5.0,
RT_241,R_241,3.8,4.7,
RT_242,R_242,3.7,4.1,
RT_245,R_245,3.6,4.2,
RT_246,R_246,3.7,4.5,
RT_248,R_248,3.6,3.7,
RT_250,R_250,4.8,4.2,
RT_252,R_252,3.8,4.5,
RT_253,R_253,3.9,3.9,
RT_254,R_254,4.0,4.9,
RT_255,R_255,4.2,4.2,
RT_256,R_256,4.4,4.3,
RT_257,R_257,3.8,4.2,
RT_258,R_258,4.4,3.7,
RT_259,R_259,4.3,4.7,
RT_261,R_261,4.3,4.6,
RT_263,R_263,4.9,4.3,
RT_264,R_264,4.3,3.8,
RT_267,R_267,4.5,3.8,
RT_269,R_269,4.4,3.9,
RT_270,R_270,3.9,4.3,
RT_271,R_271,4.6,4.3,
RT_272,R_272,4.8,4.2,
RT_273,R_273,4.1,4.6,
RT_274,R_274,4.4,4.0,
RT_277,R_277,4.7,3.6,
RT_279,R_279,3.8,4.8,
RT_280,R_280,4.0,4.2,
RT_281,R_281,4.0,4.2,
RT_282,R_282,3.9,3.8,
RT_284,R_284,4.0,4.2,
RT_286,R_286,4.1,3.9,
RT_287,R_287,3.7,4.8,
RT_288,R_288,4.2,4.2,
RT_289,R_289,4.5,4.5,
RT_290,R_290,3.7,3.9,
RT_292,R_292,4.6,4.5,
RT_293,R_293,4.6,4.0,
RT_294,R_294,4.4,4.6,
RT_295,R_295,4.6,4.5,
RT_296,R_296,4.1,3.5,
RT_297,R_297,4.8,3.9,
RT_298,R_298,4.8,4.9,
RT_300,R_300,4.3,5.0,
RT_301,R_301,4.6,4.3,
RT_302,R_302,4.7,4.0,
RT_303,R_303,4.2,5.0,
RT_305,R_305,4.7,3.8,
RT_306,R_306,4.4,4.3,
RT_308,R_308,4.5,4.1,
RT_309,R_309,5.0,4.4,
RT_310,R_310,4.3,4.4,
RT_312,R_312,4.4,4.4,
RT_313,R_313,4.5,4.9,
RT_315,R_315,4.4,3.9,
RT_316,R_316,4.1,4.9,
RT_318,R_318,3.9,4.0,
RT_323,R_323,4.5,4.5,
RT_325,R_325,4.1,4.5,
RT_326,R_326,4.8,4.2,
RT_327,R_327,4.0,4.7,
RT_328,R_328,4.6,3.7,
RT_329,R_329,4.8,4.7,
RT_330,R_330,3.7,3.6,
RT_331,R_331,4.1,3.9,
RT_333,R_333,4.1,4.9,
RT_334,R_334,5.0,3.9,
RT_336,R_336,4.0,4.5,
RT_337,R_337,3.6,4.2,
RT_338,R_338,4.8,3.8,
RT_339,R_339,4.9,4.9,
RT_340,R_340,4.9,4.4,
RT_341,R_341,4.3,4.9,
RT_342,R_342,3.7,4.0,
RT_343,R_343,5.0,4.1,
RT_344,R_344,4.1,4.7,
RT_345,R_345,4.5,4.4,
RT_346,R_346,4.6,4.5,
RT_347,R_347,4.9,4.8,
RT_348,R_348,3.6,3.8,
RT_351,R_351,4.7,3.7,
RT_352,R_352,4.2,4.5,
RT_353,R_353,3.8,3.7,
RT_355,R_355,4.0,4.3,
RT_357,R_357,4.0,4.8,
RT_358,R_358,4.5,3.8,
RT_359,R_359,3.9,4.8,
RT_360,R_360,3.9,4.5,
RT_361,R_361,4.2,4.8,
RT_363,R_363,4.7,4.4,
RT_364,R_364,4.4,4.8,
RT_365,R_365,3.5,3.9,
RT_366,R_366,5.0,4.9,
RT_367,R_367,3.8,4.6,
RT_369,R_369,4.6,4.6,
RT_370,R_370,4.4,4.4,
RT_371,R_371,4.6,4.3,
RT_373,R_373,4.4,4.1,
RT_374,R_374,3.7,3.8,
RT_375,R_375,3.6,3.6,
RT_378,R_378,4.3,4.7,
RT_379,R_379,3.6,4.0,
RT_380,R_380,4.4,4.9,
RT_384,R_384,4.1,4.8,
RT_386,R_386,4.7,3.7,
RT_388,R_388,4.3,4.8,
RT_391,R_391,3.9,4.8,
RT_392,R_392,4.5,3.7,
RT_393,R_393,4.6,4.9,
RT_394,R_394,4.9,3.9,
RT_397,R_397,4.1,4.0,
RT_399,R_399,4.9,4.5,
RT_400,R_400,3.8,4.3,
RT_401,R_401,4.5,3.8,
RT_402,R_402,3.7,3.6,
RT_403,R_403,4.7,4.7,
RT_404,R_404,4.5,4.2,
RT_405,R_405,3.9,5.0,
RT_406,R_406,4.0,3.9,
RT_407,R_407,4.4,4.0,
RT_408,R_408,4.5,3.5,
RT_409,R_409,3.9,4.4,
RT_411,R_411,3.8,4.7,
RT_412,R_412,4.5,4.0,
RT_413,R_413,3.9,4.3,
RT_414,R_414,4.3,4.6,
RT_415,R_415,4.5,3.8,
RT_417,R_417,4.7,4.3,
RT_419,R_419,3.7,4.7,
RT_420,R_420,4.3,4.2,
RT_421,R_421,4.0,4.0,
RT_422,R_422,4.6,4.3,
RT_424,R_424,4.7,4.1,
RT_425,R_425,4.5,4.3,
RT_428,R_428,3.9,4.3,
RT_429,R_429,4.4,4.6,
RT_430,R_430,4.4,4.3,
RT_431,R_431,4.9,4.6,
RT_432,R_432,4.2,4.6,
RT_433,R_433,4.2,3.9,
RT_435,R_435,3.7,4.8,
RT_436,R_436,4.7,4.8,
RT_437,R_437,4.8,4.2,
RT_439,R_439,4.0,4.5,
RT_441,R_441,3.7,4.5,
RT_442,R_442,4.6,4.4,
RT_443,R_443,4.9,4.5,
RT_444,R_444,3.9,3.5,
RT_445,R_445,3.9,4.1,
RT_446,R_446,4.2,3.6,
RT_448,R_448,3.6,4.8,
RT_449,R_449,4.7,3.6,
RT_452,R_452,3.9,4.1,
RT_453,R_453,4.2,3.5,
RT_454,R_454,3.7,3.7,
RT_456,R_456,4.9,4.5,
RT_457,R_457,4.0,4.4,
RT_458,R_458,4.1,4.5,
RT_460,R_460,4.2,4.5,
RT_461,R_461,4.1,4.4,
RT_462,R_462,4.7,3.8,
RT_463,R_463,4.5,4.7,
RT_464,R_464,4.6,4.5,
RT_465,R_465,4.5,4.5,
RT_466,R_466,4.8,4.2,
RT_467,R_467,4.9,4.5,
RT_468,R_468,3.5,4.5,
RT_469,R_469,4.9,3.9,
RT_470,R_470,4.8,4.1,
RT_472,R_472,4.7,5.0,
RT_473,R_473,4.2,3.6,
RT_474,R_474,4.8,4.5,
RT_475,R_475,4.5,3.7,
RT_476,R_476,3.8,4.6,
RT_478,R_478,4.7,4.3,
RT_480,R_480,4.1,3.7,
RT_482,R_482,4.8,4.6,
RT_483,R_483,4.9,4.4,
RT_484,R_484,3.9,4.1,
RT_486,R_486,4.8,3.9,
RT_487,R_487,3.8,4.0,
RT_489,R_489,4.2,4.9,
RT_490,R_490,3.7,3.5,
RT_491,R_491,4.5,4.6,
RT_492,R_492,4.0,3.7,
RT_496,R_496,3.9,3.7,
RT_497,R_497,4.3,4.5,
RT_498,R_498,4.0,4.1,
RT_499,R_499,4.6,4.1,
RT_500,R_500,4.7,4.2,
RT_501,R_501,4.5,4.5,
RT_503,R_503,4.7,4.0,
RT_505,R_505,3.5,4.2,
RT_507,R_507,4.9,5.0,
RT_511,R_511,4.6,4.1,
RT_512,R_512,4.6,4.7,
RT_513,R_513,4.1,4.3,
RT_514,R_514,3.7,4.6,
RT_515,R_515,3.6,3.8,
RT_517,R_517,4.8,3.6,
RT_518,R_518,4.0,3.6,
RT_520,R_520,4.0,4.8,
RT_522,R_522,4.1,3.7,
RT_523,R_523,3.9,3.6,
RT_524,R_524,4.3,4.2,
RT_525,R_525,4.0,3.8,
RT_528,R_528,4.1,4.2,
RT_529,R_529,4.1,4.2,
RT_530,R_530,4.8,3.7,
RT_531,R_531,4.9,3.5,
RT_533,R_533,5.0,4.8,
RT_534,R_534,4.2,3.9,
RT_536,R_536,4.3,3.5,
RT_537,R_537,4.9,4.5,
RT_538,R_538,4.4,3.5,
RT_539,R_539,4.7,3.6,
RT_541,R_541,3.6,4.1,
RT_542,R_542,4.1,3.8,
RT_545,R_545,4.2,4.1,
RT_549,R_549,4.2,3.9,
RT_550,R_550,4.0,5.0,
RT_552,R_552,4.6,3.6,
RT_553,R_553,4.9,4.7,
RT_554,R_554,4.9,4.1,
RT_555,R_555,5.0,4.7,
RT_556,R_556,3.6,3.6,
RT_557,R_557,4.9,4.1,
RT_558,R_558,4.0,3.6,
RT_559,R_559,3.7,4.7,
RT_561,R_561,4.9,4.7,
RT_563,R_563,4.6,5.0,
RT_564,R_564,4.4,3.7,
RT_565,R_565,4.5,4.9,
RT_566,R_566,4.5,4.7,
RT_568,R_568,4.6,4.3,
RT_570,R_570,3.9,4.7,
RT_571,R_571,3.8,4.2,
RT_572,R_572,3.6,4.6,
RT_573,R_573,4.2,4.7,
RT_574,R_574,4.2,4.9,
RT_575,R_575,3.9,4.6,
RT_578,R_578,4.2,4.4,
RT_580,R_580,3.8,4.1,
RT_581,R_581,4.8,3.9,
RT_582,R_582,3.6,3.9,
RT_583,R_583,4.6,3.7,
RT_584,R_584,4.3,4.9,
RT_586,R_586,4.9,4.4,
RT_588,R_588,4.5,4.6,
RT_589,R_589,3.7,3.5,
RT_590,R_590,4.3,3.6,
RT_591,R_591,4.9,4.0,
RT_593,R_593,4.7,4.4,
RT_594,R_594,4.5,4.8,
RT_596,R_596,4.2,4.4,
RT_597,R_597,4.1,3.8,
RT_598,R_598,4.9,4.0,
RT_599,R_599,4.6,4.7,
RT_601,R_601,4.7,4.8,
RT_605,R_605,4.8,4.2,
RT_607,R_607,4.3,4.4,
RT_608,R_608,5.0,3.5,
RT_610,R_610,4.6,4.3,
RT_611,R_611,4.2,3.8,
RT_614,R_614,4.5,4.8,
RT_617,R_617,3.6,4.2,
RT_618,R_618,4.4,4.9,
RT_620,R_620,4.2,4.5,
RT_621,R_621,4.5,4.2,
RT_622,R_622,3.7,4.7,
RT_623,R_623,4.2,3.6,
RT_624,R_624,3.6,4.4,
RT_626,R_626,4.9,3.7,
RT_628,R_628,4.8,4.8,
RT_629,R_629,4.7,3.6,
RT_630,R_630,3.7,3.9,
RT_631,R_631,4.6,4.9,
RT_632,R_632,4.0,4.9,
RT_633,R_633,4.5,4.8,
RT_634,R_634,4.3,3.6,
RT_635,R_635,4.8,3.6,
RT_637,R_637,3.8,4.6,
RT_642,R_642,3.6,3.9,
RT_643,R_643,4.9,4.4,
RT_644,R_644,3.6,4.2,
RT_646,R_646,3.6,4.7,
RT_647,R_647,4.6,3.9,
RT_648,R_648,4.8,3.8,
RT_652,R_652,3.6,4.9,
RT_653,R_653,4.0,4.2,
RT_655,R_655,3.8,4.6,
RT_656,R_656,4.9,3.5,
RT_657,R_657,3.7,4.6,
RT_658,R_658,4.1,4.5,
RT_659,R_659,4.9,4.5,
RT_661,R_661,4.5,4.2,
RT_662,R_662,4.2,4.2,
RT_665,R_665,4.0,3.8,
RT_667,R_667,4.5,4.2,
RT_670,R_670,4.9,4.6,
RT_671,R_671,4.2,4.7,
RT_675,R_675,4.7,4.4,
RT_676,R_676,4.5,4.3,
RT_677,R_677,4.7,4.5,
RT_678,R_678,4.3,4.8,
RT_679,R_679,4.6,4.3,
RT_680,R_680,4.2,4.8,
RT_681,R_681,3.7,3.8,
RT_683,R_683,4.3,4.0,
RT_684,R_684,4.9,4.6,
RT_686,R_686,3.7,3.8,
RT_687,R_687,4.0,4.3,
RT_688,R_688,3.8,3.6,
RT_690,R_690,4.9,4.4,
RT_691,R_691,4.1,4.0,
RT_692,R_692,4.0,4.4,
RT_694,R_694,4.5,3.9,
RT_695,R_695,4.1,3.6,
RT_697,R_697,4.2,4.3,
RT_698,R_698,3.6,3.8,
RT_699,R_699,4.6,4.8,
RT_700,R_700,4.3,3.9,
RT_703,R_703,4.6,4.0,
RT_704,R_704,4.6,4.1,
RT_705,R_705,4.1,4.1,
RT_706,R_706,4.0,4.2,
RT_711,R_711,4.7,4.1,
RT_712,R_712,5.0,5.0,
RT_713,R_713,5.0,4.4,
RT_714,R_714,4.5,5.0,
RT_715,R_715,3.8,3.6,
RT_716,R_716,3.9,3.7,
RT_717,R_717,4.8,4.0,
RT_719,R_719,3.8,3.6,
RT_720,R_720,3.7,3.5,
RT_721,R_721,4.4,4.4,
RT_722,R_722,4.9,4.9,
RT_723,R_723,4.3,3.5,
RT_724,R_724,4.0,4.0,
RT_728,R_728,4.2,4.7,
RT_729,R_729,4.2,4.2,
RT_730,R_730,4.6,4.9,
RT_731,R_731,4.6,4.8,
RT_733,R_733,3.5,4.8,
RT_734,R_734,4.3,4.5,
RT_735,R_735,3.9,4.3,
RT_736,R_736,4.4,4.1,
RT_737,R_737,3.7,4.3,
RT_738,R_738,4.3,4.2,
RT_739,R_739,3.8,4.6,
RT_742,R_742,4.4,4.1,
RT_745,R_745,3.6,4.4,
RT_746,R_746,3.8,4.4,
RT_747,R_747,4.5,4.5,
RT_748,R_748,4.5,4.1,
RT_749,R_749,4.3,5.0,
RT_751,R_751,4.8,4.3,
RT_754,R_754,4.0,4.1,
RT_755,R_755,3.9,4.6,
RT_756,R_756,4.3,4.3,
RT_757,R_757,4.9,4.4,
RT_758,R_758,4.0,4.9,
RT_761,R_761,3.7,4.0,
RT_762,R_762,4.1,4.1,
RT_763,R_763,4.9,4.9,
RT_764,R_764,5.0,4.2,
RT_765,R_765,4.2,4.4,
RT_766,R_766,4.4,4.7,
RT_768,R_768,3.8,4.0,
RT_771,R_771,4.4,3.8,
RT_772,R_772,3.8,4.2,
RT_773,R_773,4.6,4.8,
RT_774,R_774,4.7,4.6,
RT_776,R_776,4.0,4.4,
RT_777,R_777,4.5,3.6,
RT_778,R_778,4.8,3.8,
RT_779,R_779,3.7,4.1,
RT_780,R_780,3.9,4.9,
RT_781,R_781,4.3,4.2,
RT_782,R_782,4.6,4.4,
RT_783,R_783,3.8,3.7,
RT_784,R_784,3.7,4.6,
RT_785,R_785,3.8,3.5,
RT_786,R_786,3.9,4.1,
RT_788,R_788,4.8,4.6,
RT_789,R_789,4.4,4.0,
RT_792,R_792,4.6,4.2,
RT_796,R_796,3.7,4.1,
RT_797,R_797,4.7,4.0,
RT_798,R_798,3.7,4.8,
RT_800,R_800,4.2,4.8,
RT_802,R_802,3.6,4.5,
RT_803,R_803,4.5,4.9,
RT_804,R_804,4.4,4.6,
RT_806,R_806,4.3,4.6,
RT_807,R_807,4.8,4.3,
RT_808,R_808,3.8,4.5,
RT_810,R_810,4.0,3.7,
RT_811,R_811,4.4,4.6,
RT_812,R_812,4.3,4.4,
RT_813,R_813,4.5,4.6,
RT_815,R_815,4.6,5.0,
RT_816,R_816,4.5,4.0,
RT_818,R_818,5.0,4.7,
RT_819,R_819,4.1,4.2,
RT_820,R_820,4.4,4.0,
RT_821,R_821,4.0,4.1,
RT_822,R_822,4.6,3.9,
RT_825,R_825,4.9,4.8,
RT_826,R_826,3.6,3.6,
RT_827,R_827,3.9,3.6,
RT_828,R_828,4.9,5.0,
RT_830,R_830,4.2,4.6,
RT_831,R_831,4.2,3.7,
RT_832,R_832,4.5,5.0,
RT_834,R_834,3.8,4.3,
RT_836,R_836,4.9,4.0,
RT_840,R_840,4.5,4.3,
RT_841,R_841,4.8,4.3,
RT_842,R_842,4.9,4.3,
RT_843,R_843,3.7,4.6,
RT_845,R_845,3.8,5.0,
RT_847,R_847,4.0,4.6,
RT_849,R_849,3.6,4.0,
RT_850,R_850,4.4,4.3,
RT_851,R_851,4.3,4.9,
RT_852,R_852,3.6,4.0,
RT_853,R_853,4.1,4.4,
RT_854,R_854,3.6,3.6,
RT_855,R_855,4.6,4.8,
RT_856,R_856,4.6,4.5,
RT_857,R_857,4.9,4.4,
RT_858,R_858,4.1,3.8,
RT_859,R_859,4.1,4.8,
RT_860,R_860,5.0,4.0,
RT_861,R_861,4.8,4.7,
RT_862,R_862,3.9,4.6,
RT_863,R_863,3.9,4.0,
RT_864,R_864,4.0,4.3,
RT_865,R_865,4.3,3.9,
RT_866,R_866,4.3,3.7,
RT_867,R_867,3.6,3.8,
RT_868,R_868,4.2,3.7,
RT_874,R_874,4.6,3.5,
RT_875,R_875,3.8,4.8,
RT_877,R_877,4.5,3.9,
RT_878,R_878,4.6,4.0,
RT_879,R_879,4.7,4.9,
RT_880,R_880,4.4,4.2,
RT_881,R_881,3.6,4.8,
RT_882,R_882,3.7,3.9,
RT_886,R_886,4.0,4.8,
RT_889,R_889,4.4,4.9,
RT_890,R_890,4.0,3.5,
RT_893,R_893,4.0,4.2,
RT_894,R_894,3.9,4.1,
RT_895,R_895,4.6,4.9,
RT_896,R_896,4.4,3.7,
RT_898,R_898,4.7,4.4,
RT_899,R_899,3.7,3.6,
RT_900,R_900,4.9,4.7,
RT_901,R_901,4.3,4.6,
RT_903,R_903,3.6,4.2,
RT_905,R_905,4.4,4.7,
RT_906,R_906,4.8,4.0,
RT_907,R_907,3.8,4.4,
RT_909,R_909,4.9,3.6,
RT_910,R_910,4.8,4.5,
RT_917,R_917,4.6,3.9,
RT_918,R_918,4.0,3.5,
RT_919,R_919,4.8,4.7,
RT_921,R_921,4.5,4.3,
RT_922,R_922,4.3,3.6,
RT_923,R_923,4.9,4.8,
RT_925,R_925,3.7,3.6,
RT_926,R_926,4.7,3.6,
RT_927,R_927,3.8,4.9,
RT_931,R_931,4.9,3.5,
RT_932,R_932,4.2,4.3,
RT_934,R_934,4.1,4.9,
RT_937,R_937,4.5,4.2,
RT_938,R_938,3.6,4.5,
RT_939,R_939,4.4,3.7,
RT_941,R_941,4.6,4.2,
RT_942,R_942,3.7,3.7,
RT_943,R_943,3.7,3.8,
RT_944,R_944,3.5,4.9,
RT_947,R_947,4.0,4.7,
RT_948,R_948,4.5,4.4,
RT_949,R_949,3.8,4.4,
RT_950,R_950,4.1,4.2,
RT_951,R_951,4.5,4.3,
RT_952,R_952,4.6,3.8,
RT_953,R_953,4.7,3.7,
RT_954,R_954,3.6,4.4,
RT_955,R_955,4.3,4.6,
RT_956,R_956,4.3,3.8,
RT_957,R_957,4.2,4.7,
RT_959,R_959,3.5,4.0,
RT_960,R_960,3.6,3.9,
RT_963,R_963,3.6,4.5,
RT_964,R_964,4.3,4.5,
RT_965,R_965,3.7,3.5,
RT_966,R_966,4.2,3.9,
RT_967,R_967,4.9,4.5,
RT_968,R_968,4.4,3.7,
RT_969,R_969,4.0,3.7,
RT_970,R_970,4.8,3.7,
RT_972,R_972,4.0,4.4,
RT_973,R_973,3.6,4.8,
RT_974,R_974,4.8,4.5,
RT_976,R_976,4.4,4.4,
RT_977,R_977,3.8,4.2,
RT_978,R_978,4.2,4.2,
RT_979,R_979,4.7,4.9,
RT_981,R_981,3.7,4.9,
RT_982,R_982,4.9,3.8,
RT_984,R_984,4.8,3.8,
RT_985,R_985,4.0,4.8,
RT_987,R_987,3.8,4.9,
RT_988,R_988,4.4,5.0,
RT_989,R_989,4.1,3.8,
RT_990,R_990,3.6,3.8,
RT_991,R_991,4.1,4.0,
RT_992,R_992,4.6,4.7,
RT_994,R_994,3.8,4.8,
RT_995,R_995,3.6,4.2,
RT_998,R_998,3.7,3.7,
RT_999,R_999,4.9,5.0,
RT_1000,R_1000,3.8,4.9,
RT_1001,R_1001,4.1,4.8,
RT_1002,R_1002,4.9,4.7,
RT_1003,R_1003,4.7,4.5,
RT_1004,R_1004,4.4,3.5,
RT_1005,R_1005,4.6,4.6,
RT_1008,R_1008,4.2,5.0,
RT_1009,R_1009,3.6,4.3,
RT_1010,R_1010,3.8,4.8,
RT_1011,R_1011,4.2,3.7,
RT_1012,R_1012,4.2,4.6,
RT_1013,R_1013,3.6,4.2,
RT_1014,R_1014,3.6,4.1,
RT_1015,R_1015,4.2,4.8,
RT_1016,R_1016,3.8,4.9,
RT_1017,R_1017,3.7,4.4,
RT_1018,R_1018,4.6,4.2,
RT_1021,R_1021,4.7,4.9,
RT_1022,R_1022,4.0,4.3,
RT_1024,R_1024,4.2,4.7,
RT_1026,R_1026,4.8,4.9,
RT_1027,R_1027,4.1,4.0,
RT_1029,R_1029,4.8,4.4,
RT_1030,R_1030,4.2,4.1,
RT_1032,R_1032,4.7,3.8,
RT_1033,R_1033,3.7,4.7,
RT_1035,R_1035,4.4,4.1,
RT_1036,R_1036,3.6,4.1,
RT_1037,R_1037,4.4,3.9,
RT_1038,R_1038,4.5,3.9,
RT_1041,R_1041,4.7,4.7,
RT_1042,R_1042,4.4,4.2,
RT_1043,R_1043,4.0,3.7,
RT_1044,R_1044,4.5,4.2,
RT_1045,R_1045,3.5,4.3,
RT_1046,R_1046,4.3,3.9,
RT_1048,R_1048,3.9,4.6,
RT_1049,R_1049,4.1,4.2,
RT_1050,R_1050,4.7,4.6,
RT_1054,R_1054,4.8,4.0,
RT_1055,R_1055,4.6,4.9,
RT_1057,R_1057,4.8,4.6,
RT_1058,R_1058,4.2,4.0,
RT_1059,R_1059,4.2,3.9,
RT_1060,R_1060,4.8,3.9,
RT_1062,R_1062,4.7,5.0,
RT_1063,R_1063,4.2,4.2,
RT_1064,R_1064,4.2,4.7,
RT_1065,R_1065,4.8,3.6,
RT_1066,R_1066,5.0,3.5,
RT_1067,R_1067,3.7,3.6,
RT_1069,R_1069,4.4,5.0,
RT_1070,R_1070,3.6,3.7,
RT_1072,R_1072,4.2,4.2,
RT_1074,R_1074,3.8,4.5,
RT_1077,R_1077,3.8,3.8,
